Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
BUL-114620,Residential Re-Roofing,Complete,,4/13/2016,3/14/2016,10/10/2016,5/4/2025,Permit,11421 NW 13 Ct
BUL-114652,Residential Re-Roofing,Complete,,4/4/2016,3/14/2016,10/1/2016,5/5/2025,Permit,12001 NW 14 Ct
BUL-114656,Residential Re-Roofing,Complete,,4/4/2016,3/14/2016,10/1/2016,5/4/2025,Permit,610 SW 70 Ave
BUL-114677,Residential Re-Roofing,Complete,,4/12/2016,3/14/2016,10/9/2016,5/4/2025,Permit,9330 NW 14 St
BUL-114701,Residential Re-Roofing,Complete,,3/24/2016,3/14/2016,9/20/2016,5/5/2025,Permit,211 SW 63 Ter
BUL-11471,Residential Re-Roofing,Complete,,9/1/2010,8/16/2010,2/28/2011,5/3/2025,Permit,460 SW 181ST AVE
BUL-114751,Residential Re-Roofing,Complete,,4/6/2016,3/15/2016,10/3/2016,5/2/2025,Permit,18120 NW 18 St
BUL-114769,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,6/1/2016,3/15/2016,11/28/2016,5/1/2025,Permit,8607 SW 14 Ct
BUL-114780,Residential Re-Roofing,Complete,,4/4/2016,3/15/2016,10/1/2016,5/2/2025,Permit,11510 NW 23 St
BUL-114782,Residential Re-Roofing,Complete,,3/22/2016,3/15/2016,9/18/2016,5/4/2025,Permit,1286 NW 123 Ave
BUL-114783,Residential Re-Roofing,Complete,,3/31/2016,3/15/2016,9/27/2016,3/31/2016,Permit,7790 TAFT St
BUL-114786,Residential Re-Roofing,Complete,,3/31/2016,3/15/2016,9/27/2016,5/4/2025,Permit,8480 NW 14 St
BUL-114788,Residential Re-Roofing,Complete,,4/5/2016,3/15/2016,10/2/2016,5/4/2025,Permit,1902 NW 184 Ter
BUL-11479,Residential Re-Roofing,Complete,,8/19/2010,8/16/2010,2/15/2011,5/4/2025,Permit,10575 SW 12 MNR
BUL-114792,Residential Re-Roofing,Complete,,3/31/2016,3/15/2016,9/27/2016,5/3/2025,Permit,7741 NW 10 St
BUL-114857,Residential Re-Roofing,Complete,,3/29/2016,3/16/2016,9/25/2016,3/5/2025,Permit,7741 NW 6 St
BUL-114864,Residential Re-Roofing,Complete,,4/5/2016,3/16/2016,10/2/2016,4/5/2016,Permit,731 NW 84 Ave
BUL-114888,Residential Re-Roofing,Complete,,4/7/2016,3/16/2016,10/4/2016,5/3/2025,Permit,1630 NW 96 Ave
BUL-11489,Residential Re-Roofing,Complete,,8/23/2010,8/16/2010,2/19/2011,5/1/2025,Permit,20260 NW 2 ST
BUL-114950,Residential Re-Roofing,Complete,,3/31/2016,3/17/2016,9/27/2016,3/31/2016,Permit,12009 NW 13 St
BUL-114958,Residential Re-Roofing,Complete,,4/4/2016,3/17/2016,10/1/2016,5/2/2025,Permit,6960 SW 9 St
BUL-114985,Residential Re-Roofing,Complete,,4/12/2016,3/17/2016,10/9/2016,5/4/2025,Permit,620 SW 69 Ave
BUL-114988,Residential Re-Roofing,Complete,,4/4/2016,3/17/2016,10/1/2016,5/4/2025,Permit,8131 NW 15 St
BUL-115038,Residential Re-Roofing,Complete,,4/7/2016,3/21/2016,10/4/2016,4/7/2016,Permit,320 NW 195 Ave
BUL-11504,Residential Re-Roofing,Complete,,9/22/2010,8/16/2010,3/21/2011,5/4/2025,Permit,1220 SW 103 AVE
BUL-115044,Residential Re-Roofing,Complete,,4/4/2016,3/21/2016,10/1/2016,5/3/2025,Permit,6631 SW 4 St
BUL-115049,Residential Re-Roofing,Complete,,4/25/2016,3/21/2016,10/22/2016,5/4/2025,Permit,1231 E GOLFVIEW Dr
BUL-115051,Residential Re-Roofing,Complete,,4/5/2016,3/21/2016,10/2/2016,5/1/2025,Permit,1020 NW 79 Way
BUL-115072,Residential Re-Roofing,Complete,,4/5/2016,3/21/2016,10/2/2016,5/4/2025,Permit,1400 NW 92 AVE
BUL-115074,Residential Re-Roofing,Complete,,4/5/2016,3/21/2016,10/2/2016,5/3/2025,Permit,9250 NW 14 ST
BUL-115077,Residential Re-Roofing,Complete,,4/6/2016,3/21/2016,10/3/2016,5/4/2025,Permit,1561 N HIATUS Rd
BUL-115102,Residential Re-Roofing,Complete,,4/5/2016,3/21/2016,10/2/2016,5/4/2025,Permit,1931 NW 86 Ter
BUL-115114,Residential Re-Roofing,Complete,,4/5/2016,3/21/2016,10/2/2016,5/4/2025,Permit,1410 NW 114 Ave
BUL-115145,Residential Re-Roofing,Complete,,4/14/2016,3/22/2016,10/11/2016,5/5/2025,Permit,331 NW 193 Ave
BUL-115148,Residential Re-Roofing,Complete,,4/5/2016,3/22/2016,10/2/2016,5/3/2025,Permit,810 SW 70 Ave
BUL-115152,Residential Re-Roofing,Complete,,4/5/2016,3/22/2016,10/2/2016,5/2/2025,Permit,371 NW 162 Ave
BUL-115155,Residential Re-Roofing,Complete,,4/7/2016,3/22/2016,10/4/2016,4/7/2016,Permit,5421 SW 199 Ave
BUL-115206,Residential Re-Roofing,Complete,,4/4/2016,3/22/2016,10/1/2016,5/1/2025,Permit,1531 LACOSTA Dr
BUL-115221,Residential Re-Roofing,Complete,,4/6/2016,3/23/2016,10/3/2016,5/3/2025,Permit,2041 NW 85 Ave
BUL-115222,Residential Re-Roofing,Complete,,4/12/2016,3/23/2016,10/9/2016,5/4/2025,Permit,421 SW 64 Way
BUL-115227,Residential Re-Roofing,Complete,,4/6/2016,3/23/2016,10/3/2016,5/1/2025,Permit,119 SW 68 Ave
BUL-115248,Residential Re-Roofing,Complete,,4/5/2016,3/23/2016,10/2/2016,5/4/2025,Permit,1130 NW 79 Way
BUL-115297,Residential Re-Roofing,Complete,,4/11/2016,3/24/2016,10/8/2016,4/11/2016,Permit,17952 SW 11 St
BUL-11530,Residential Re-Roofing,Complete,,8/23/2010,8/17/2010,2/19/2011,5/5/2025,Permit,11041 TAFT ST ST
BUL-115337,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,4/19/2016,3/24/2016,10/16/2016,5/3/2025,Permit,7076 CORONADO Way
BUL-115397,RESIDENTIAL MISCELLANEOUS (LEGACY) - RESIDENTIAL PORCH ROOF - LEGACY,Complete,,5/18/2016,3/28/2016,11/14/2016,5/2/2025,Permit,550 NW 159 Ave
BUL-115400,Residential Re-Roofing,Complete,,4/11/2016,3/28/2016,10/8/2016,5/5/2025,Permit,1256 nw 98 Ter
BUL-115403,Residential Re-Roofing,Complete,,3/29/2016,3/28/2016,9/25/2016,5/5/2025,Permit,20202 SW 52 Pl
BUL-115415,Residential Re-Roofing,Complete,,4/6/2016,3/28/2016,10/3/2016,5/4/2025,Permit,1004 NW 180 Ave
BUL-115468,Residential Re-Roofing,Complete,,4/12/2016,3/29/2016,10/9/2016,5/5/2025,Permit,1933 NW 184 Way
BUL-115469,Residential Re-Roofing,Complete,,4/12/2016,3/29/2016,10/9/2016,5/5/2025,Permit,16436 SW 1 Ct
BUL-115493,Residential Re-Roofing,Complete,,4/21/2016,3/29/2016,10/18/2016,5/1/2025,Permit,20261 NW 5 St
BUL-115495,Residential Re-Roofing,Complete,,4/21/2016,3/29/2016,10/18/2016,5/5/2025,Permit,20320 NW 4 St
BUL-115547,Residential Re-Roofing,Complete,,4/6/2016,3/30/2016,10/3/2016,5/4/2025,Permit,8650 PASADENA Blvd
