Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address
BUL-10763,Residential Re-Roofing,Complete,,7/21/2010,7/20/2010,1/17/2011,5/4/2025,Permit,10930 CLUBHOUSE RD ST
BUL-107712,Residential Re-Roofing,Complete,,11/4/2015,10/26/2015,5/2/2016,5/4/2025,Permit,10821 NW 18 Pl
BUL-107761,Residential Re-Roofing,Complete,,11/3/2015,10/27/2015,5/1/2016,5/2/2025,Permit,1301 NW 77 Way
BUL-107769,Residential Re-Roofing,Complete,,11/18/2015,10/27/2015,5/16/2016,5/5/2025,Permit,11910 NW 12 St
BUL-107794,Residential Re-Roofing,Complete,,11/9/2015,10/27/2015,5/7/2016,5/5/2025,Permit,9410 NW 20 St
BUL-107915,Residential Re-Roofing,Complete,,11/16/2015,10/29/2015,5/14/2016,5/3/2025,Permit,411 NW 93 Ter
BUL-107967,Residential Re-Roofing,Complete,,11/10/2015,10/29/2015,5/8/2016,5/2/2025,Permit,990 SW 113 Ter
BUL-108018,Residential Re-Roofing,Complete,,1/4/2016,11/2/2015,7/2/2016,5/1/2025,Permit,11151 TAFT St
BUL-108066,Residential Re-Roofing,Complete,,11/10/2015,11/2/2015,5/8/2016,5/5/2025,Permit,721 NW 98 Ave
BUL-108076,Residential Re-Roofing,Complete,,11/25/2015,11/2/2015,5/23/2016,5/2/2025,Permit,6950 SW 13 st
BUL-108096,Residential Re-Roofing,Complete,,11/10/2015,11/2/2015,5/8/2016,11/10/2015,Permit,17821 NW 16 St
BUL-108126,Residential Re-Roofing,Complete,,11/12/2015,11/3/2015,5/10/2016,5/4/2025,Permit,2340 PLUM Ct
BUL-108169,Residential Re-Roofing,Complete,,11/18/2015,11/3/2015,5/16/2016,5/5/2025,Permit,8770 NW 15 St
BUL-108178,Residential Re-Roofing,Complete,,,11/3/2015,5/1/2016,5/3/2025,Permit,2240 BUTTONWOOD Ave
BUL-10818,Residential Re-Roofing,Complete,,8/2/2010,7/21/2010,1/29/2011,5/3/2025,Permit,2141 NW 85 WAY
BUL-108200,Residential Re-Roofing,Complete,,11/19/2015,11/3/2015,5/17/2016,5/5/2025,Permit,7311 NW 1 ct
BUL-108225,Residential Re-Roofing,Complete,,11/17/2015,11/4/2015,5/15/2016,5/3/2025,Permit,11621 NW 21 st
BUL-108236,Residential Re-Roofing,Complete,,12/1/2015,11/4/2015,5/29/2016,5/3/2025,Permit,10800 S GOLFVIEW Dr
BUL-108278,Residential Re-Roofing,Complete,,11/16/2015,11/4/2015,5/14/2016,5/4/2025,Permit,641 SW 98 Ter
BUL-108321,Residential Re-Roofing,Complete,,11/5/2015,11/4/2015,5/3/2016,5/4/2025,Permit,721 LAUREL Ln W.
BUL-10838,Residential Re-Roofing,Complete,,,7/21/2010,1/17/2011,5/4/2025,Permit,10421 NW 21 ST
BUL-108397,Residential Re-Roofing,Complete,,11/23/2015,11/5/2015,5/21/2016,5/4/2025,Permit,1341 W FAIRWAY ROAD
BUL-108569,Residential Re-Roofing,Complete,,11/19/2015,11/10/2015,5/17/2016,5/3/2025,Permit,6910 SW 3 St
BUL-108644,Residential Re-Roofing,Complete,,12/1/2015,11/10/2015,5/29/2016,5/3/2025,Permit,1451 LAGUNA Ln
BUL-108646,Residential Re-Roofing,Complete,,12/14/2015,11/10/2015,6/11/2016,5/5/2025,Permit,2021 BAYBERRY Dr
BUL-108650,Residential Re-Roofing,Complete,,11/24/2015,11/10/2015,5/22/2016,5/3/2025,Permit,2330 PINE NEEDLE Ct
BUL-108674,Residential Re-Roofing,Complete,,12/1/2015,11/12/2015,5/29/2016,12/1/2015,Permit,7110 SW 10 Ct
BUL-108795,Residential Re-Roofing,Complete,,11/24/2015,11/16/2015,5/22/2016,11/24/2015,Permit,321 NW 93 ave
BUL-108798,Residential Re-Roofing,Complete,,2/4/2016,11/16/2015,8/2/2016,5/2/2025,Permit,13455 SW 3rd st
BUL-108809,Residential Re-Roofing,Complete,,11/24/2015,11/16/2015,5/22/2016,5/5/2025,Permit,18434 NW 20 st
BUL-108820,Residential Re-Roofing,Complete,,11/25/2015,11/16/2015,5/23/2016,5/2/2025,Permit,11301 SW 3 st
BUL-108884,Residential Re-Roofing,Complete,,12/1/2015,11/17/2015,5/29/2016,5/4/2025,Permit,2111 NW 108 Ave
BUL-108912,Residential Re-Roofing,Complete,,12/3/2015,11/17/2015,5/31/2016,5/1/2025,Permit,8861 NW 10 St
BUL-108989,Residential Re-Roofing,Complete,,12/2/2015,11/18/2015,5/30/2016,5/1/2025,Permit,1230 NW 92 Ave
BUL-109024,Residential Re-Roofing,Complete,,12/1/2015,11/18/2015,5/29/2016,5/1/2025,Permit,8660 NW 24 Ct
BUL-109068,Residential Re-Roofing,Complete,,12/2/2015,11/19/2015,5/30/2016,5/3/2025,Permit,11200 NW 15 St
BUL-109069,Residential Re-Roofing,Complete,,12/2/2015,11/19/2015,5/30/2016,5/5/2025,Permit,301 SW 71 Ave
BUL-109073,Residential Re-Roofing,Complete,,12/7/2015,11/19/2015,6/4/2016,5/4/2025,Permit,2041 NW 82 Ave
BUL-109086,Residential Re-Roofing,Complete,,12/7/2015,11/19/2015,6/4/2016,5/1/2025,Permit,1011 SW 87 Way
BUL-109090,Residential Re-Roofing,Complete,,12/1/2015,11/19/2015,5/29/2016,5/5/2025,Permit,17513 NW 10 st
BUL-10912,Residential Re-Roofing,Complete,,8/4/2010,7/26/2010,1/31/2011,5/1/2025,Permit,19950 NW 2ND ST
BUL-109122,Residential Re-Roofing,Complete,,11/30/2015,11/23/2015,5/28/2016,5/1/2025,Permit,9648 NW 15 Ct
BUL-109132,Residential Re-Roofing,Complete,,12/3/2015,11/23/2015,5/31/2016,5/1/2025,Permit,2201 NW 94 Ave
BUL-109154,Residential Re-Roofing,Complete,,12/21/2015,11/23/2015,6/18/2016,5/3/2025,Permit,1681 E GOLFVIEW Dr
BUL-109236,Residential Re-Roofing,Complete,,12/3/2015,11/24/2015,5/31/2016,5/5/2025,Permit,1121 WILSHIRE Cir
BUL-109270,Residential Screen,Complete,,1/4/2016,11/25/2015,7/2/2016,5/4/2025,Permit,901 SW 115 ave 
BUL-109294,Residential Re-Roofing,Complete,,12/9/2015,11/25/2015,6/6/2016,12/9/2015,Permit,1171 NW 84 Ter
BUL-109295,Residential Re-Roofing,Complete,,12/3/2015,11/25/2015,5/31/2016,5/5/2025,Permit,1268 NW 192 Ter
BUL-109405,Residential Re-Roofing,Complete,,12/7/2015,12/1/2015,6/4/2016,12/7/2015,Permit,701 SW 93 Ter
BUL-109412,Residential Re-Roofing,Complete,,12/2/2015,12/1/2015,5/30/2016,5/1/2025,Permit,720 SW 70 Ter
BUL-109422,Residential Re-Roofing,Complete,,12/10/2015,12/1/2015,6/7/2016,5/5/2025,Permit,8501 NW 10 St
BUL-10943,Residential Re-Roofing,Complete,,8/11/2010,7/27/2010,2/7/2011,5/5/2025,Permit,11355 NW 15TH CT
BUL-109441,Residential Re-Roofing,Complete,,12/9/2015,12/1/2015,6/6/2016,12/9/2015,Permit,1521 HAMMOCK LANE 
BUL-109442,Residential Re-Roofing,Complete,,12/17/2015,12/1/2015,6/14/2016,5/5/2025,Permit,18033 SW 13 St
BUL-109443,Residential Re-Roofing,Complete,,12/9/2015,12/1/2015,6/6/2016,5/3/2025,Permit,1531 HAMMOCK Ln
BUL-109475,Residential Re-Roofing,Complete,,1/11/2016,12/2/2015,7/9/2016,5/4/2025,Permit,20420 SW 51 St
BUL-109476,Residential Re-Roofing,Complete,,12/28/2015,12/2/2015,6/25/2016,5/5/2025,Permit,2281 BAYBERRY Dr
BUL-109502,Residential Re-Roofing,Complete,,12/15/2015,12/2/2015,6/12/2016,5/1/2025,Permit,720 NW 203 Ter
BUL-109504,Residential Re-Roofing,Complete,,12/15/2015,12/2/2015,6/12/2016,5/2/2025,Permit,641 SW 158 Way
BUL-109526,Residential Re-Roofing,Complete,,12/15/2015,12/2/2015,6/12/2016,5/3/2025,Permit,18571 NW 19 St
BUL-109584,Residential Re-Roofing,Complete,,12/14/2015,12/3/2015,6/11/2016,5/2/2025,Permit,6930 SW 3 St
BUL-109585,Residential Re-Roofing,Complete,,12/14/2015,12/3/2015,6/11/2016,5/3/2025,Permit,9778 NW 16 Ct
BUL-109659,Residential Re-Roofing,Complete,,12/17/2015,12/7/2015,6/14/2016,12/17/2015,Permit,1920 NW 106 Ter
BUL-109661,Residential Re-Roofing,Complete,,12/31/2015,12/7/2015,6/28/2016,12/31/2015,Permit,7701 NW 6 Ct
BUL-109677,Residential Re-Roofing,Complete,,1/11/2016,12/7/2015,7/9/2016,5/1/2025,Permit,1508 NW 113 Way
BUL-109684,Residential Re-Roofing,Complete,,12/15/2015,12/7/2015,6/12/2016,5/1/2025,Permit,7711 NW 2 St
BUL-109685,Residential Re-Roofing,Complete,,12/15/2015,12/7/2015,6/12/2016,5/5/2025,Permit,736 NW 164 Ave
BUL-109713,Residential Re-Roofing,Complete,,12/15/2015,12/8/2015,6/12/2016,5/1/2025,Permit,10961 CYPRESS Rd
BUL-109796,Residential Re-Roofing,Complete,,1/4/2016,12/9/2015,7/2/2016,5/5/2025,Permit,20057 NW 8 St
BUL-109815,Residential Re-Roofing,Complete,,12/17/2015,12/9/2015,6/14/2016,12/17/2015,Permit,16369 NW 11 St
BUL-109816,Residential Re-Roofing,Complete,,12/17/2015,12/9/2015,6/14/2016,5/2/2025,Permit,11730 NW 12 St
BUL-109820,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,3/22/2016,12/9/2015,9/18/2016,3/22/2016,Permit,273 NW 207 Way
BUL-109861,Residential Re-Roofing,Complete,,12/28/2015,12/9/2015,6/25/2016,5/3/2025,Permit,8680 PASADENA Blvd
BUL-109865,Residential Re-Roofing,Complete,,12/23/2015,12/10/2015,6/20/2016,5/1/2025,Permit,210 SW 68 Blvd
BUL-109910,Residential Re-Roofing,Complete,,2/4/2016,12/10/2015,8/2/2016,,Permit,901 SW 128 AVE.
BUL-109915,Residential Re-Roofing,Complete,,2/4/2016,12/10/2015,8/2/2016,,Permit,701 SW 128 AVE.
BUL-109989,Residential Re-Roofing,Complete,,12/28/2015,12/14/2015,6/25/2016,5/3/2025,Permit,701 NW 88 Ave
BUL-109990,Residential Re-Roofing,Complete,,12/28/2015,12/14/2015,6/25/2016,5/3/2025,Permit,18459 NW 9 Ct
BUL-109993,Residential Re-Roofing,Complete,,12/17/2015,12/14/2015,6/14/2016,12/17/2015,Permit,640 NW 206 Ave
BUL-110022,Residential Re-Roofing,Complete,,12/28/2015,12/14/2015,6/25/2016,5/7/2025,Permit,1011 SW 72 Ave
BUL-110029,Residential Re-Roofing,Complete,,12/28/2015,12/14/2015,6/25/2016,5/3/2025,Permit,1171 N HIATUS Rd
BUL-110031,Residential Re-Roofing,Complete,,12/23/2015,12/14/2015,6/20/2016,5/2/2025,Permit,8101 NW 15 St
BUL-110033,Residential Re-Roofing,Complete,,12/22/2015,12/14/2015,6/19/2016,5/3/2025,Permit,6641 SW 5 St
BUL-110061,Residential Re-Roofing,Complete,,12/22/2015,12/15/2015,6/19/2016,5/4/2025,Permit,941 SW 115 Ave
BUL-110065,Residential Re-Roofing,Complete,,12/22/2015,12/15/2015,6/19/2016,5/4/2025,Permit,310 NW 161 Ave
BUL-110119,Residential Re-Roofing,Complete,,1/11/2016,12/15/2015,7/9/2016,1/11/2016,Permit,1950 SEAGRAPE Ave
BUL-110135,Residential Re-Roofing,Complete,,1/7/2016,12/15/2015,7/5/2016,5/2/2025,Permit,1120 SW 87 Ter
BUL-110195,Residential Re-Roofing,Complete,,12/21/2015,12/16/2015,6/18/2016,5/1/2025,Permit,7920 NW 11 Ct
BUL-110202,Residential Re-Roofing,Complete,,1/6/2016,12/16/2015,7/4/2016,5/1/2025,Permit,1740 NW 85 Way
BUL-110229,Residential Re-Roofing,Complete,,1/7/2016,12/16/2015,7/5/2016,1/7/2016,Permit,1770 ACORN Ln
BUL-110233,Residential Re-Roofing,Complete,,1/4/2016,12/16/2015,7/2/2016,5/3/2025,Permit,10201 NW 24 Ct
BUL-110235,Residential Re-Roofing,Complete,,12/16/2015,12/16/2015,6/13/2016,5/3/2025,Permit,8401 NW 7 Ct
BUL-110297,Residential Re-Roofing,Complete,,1/11/2016,12/17/2015,7/9/2016,5/4/2025,Permit,18490 NW 22 St
BUL-110356,Residential Re-Roofing,Complete,,1/12/2016,12/17/2015,7/10/2016,5/3/2025,Permit,1141 NW 79 Way
BUL-110365,Residential Re-Roofing,Complete,,1/7/2016,12/17/2015,7/5/2016,5/5/2025,Permit,10271 OLEANDER Ct
BUL-110411,Residential Re-Roofing,Complete,,12/31/2015,12/21/2015,6/28/2016,5/1/2025,Permit,19765 NW 10 St
BUL-110415,Residential Re-Roofing,Complete,,1/14/2016,12/21/2015,7/12/2016,5/1/2025,Permit,640 SW 113 Ter
BUL-110452,Residential Re-Roofing,Complete,,1/5/2016,12/21/2015,7/3/2016,5/3/2025,Permit,11318 NW 15 Ct
BUL-110502,Residential Re-Roofing,Complete,,1/6/2016,12/22/2015,7/4/2016,1/6/2016,Permit,1410 NW 85 Way
BUL-110508,Residential Re-Roofing,Complete,,1/11/2016,12/22/2015,7/9/2016,5/2/2025,Permit,2003 NW 178 Way
BUL-110519,Residential Re-Roofing,Complete,,1/5/2016,12/22/2015,7/3/2016,5/2/2025,Permit,6310 SW 6 St
BUL-110524,Residential Re-Roofing,Complete,,1/6/2016,12/22/2015,7/4/2016,5/2/2025,Permit,6812 SW 11 St
BUL-110572,Residential Re-Roofing,Complete,,1/19/2016,12/23/2015,7/17/2016,5/4/2025,Permit,10310 NW 18 PLACE
BUL-110576,Residential Re-Roofing,Complete,,12/23/2015,12/23/2015,6/20/2016,5/2/2025,Permit,201 SW 64 Ave
BUL-11059,Residential Re-Roofing,Complete,,8/23/2010,7/29/2010,2/19/2011,5/2/2025,Permit,1389 NW 161 AVE
BUL-11067,Residential Re-Roofing,Complete,,8/12/2010,7/29/2010,2/8/2011,5/3/2025,Permit,19430 NW 3RD ST
BUL-110675,Residential Re-Roofing,Complete,,1/21/2016,12/28/2015,7/19/2016,5/1/2025,Permit,371 NW 101 Ter
BUL-11072,Residential Re-Roofing,Complete,,8/9/2010,7/29/2010,2/5/2011,5/1/2025,Permit,16144 NW 9TH DR
BUL-11076,Residential Re-Roofing,Complete,,8/9/2010,7/29/2010,2/5/2011,5/5/2025,Permit,11421 NW 18TH ST
BUL-110761,Residential Re-Roofing,Complete,,1/12/2016,12/29/2015,7/10/2016,5/4/2025,Permit,20401 SW 51 St
BUL-11082,Residential Re-Roofing,Complete,,,8/2/2010,1/29/2011,5/2/2025,Permit,209 SW 67 TER
BUL-110821,Residential Re-Roofing,Complete,,12/29/2015,12/29/2015,6/26/2016,5/4/2025,Permit,10140 NW 3 st
BUL-11084,Residential Re-Roofing,Complete,,,8/2/2010,1/29/2011,5/3/2025,Permit,251 SW 64 TER
BUL-11086,Residential Re-Roofing,Complete,,8/2/2010,8/2/2010,1/29/2011,5/2/2025,Permit,115 SW 68 AVE
BUL-110878,Residential Re-Roofing,Complete,,1/13/2016,12/31/2015,7/11/2016,5/4/2025,Permit,6920 SW 1 Ct
BUL-110882,Residential Re-Roofing,Complete,,1/11/2016,12/31/2015,7/9/2016,1/11/2016,Permit,1101 WILSHIRE Cir
BUL-110895,Residential Re-Roofing,Complete,,1/6/2016,1/4/2016,7/4/2016,5/1/2025,Permit,8490 NW 17 Ct
BUL-110896,Residential Re-Roofing,Complete,,1/6/2016,1/4/2016,7/4/2016,5/1/2025,Permit,1233 NW 179 Ter
BUL-110920,Residential Re-Roofing,Complete,,2/22/2016,1/4/2016,8/20/2016,5/5/2025,Permit,1211 WILSHIRE Cir
BUL-110929,Residential Re-Roofing,Complete,,1/12/2016,1/4/2016,7/10/2016,5/4/2025,Permit,1930 NW 85 Way
BUL-11098,Residential Re-Roofing,Complete,,8/23/2010,8/2/2010,2/19/2011,5/3/2025,Permit,17233 NW 6 CT
BUL-111047,Residential Re-Roofing,Complete,,1/25/2016,1/6/2016,7/23/2016,5/1/2025,Permit,8330 NW 18 St
BUL-111073,Residential Re-Roofing,Complete,,1/14/2016,1/6/2016,7/12/2016,5/3/2025,Permit,"9491 NW 15 st,"
BUL-111109,Residential Re-Roofing,Complete,,1/19/2016,1/7/2016,7/17/2016,1/19/2016,Permit,7830 TAFT St
BUL-11116,Residential Re-Roofing,Complete,,8/16/2010,8/2/2010,2/12/2011,8/16/2010,Permit,15224 WILSHIRE CIR S
BUL-111160,Residential Re-Roofing,Complete,,1/25/2016,1/7/2016,7/23/2016,5/2/2025,Permit,2200 NW 102 Way
BUL-111186,Residential Re-Roofing,Complete,,1/13/2016,1/11/2016,7/11/2016,5/4/2025,Permit,1430 NW 112 Way
BUL-111200,Residential Re-Roofing,Complete,,1/21/2016,1/11/2016,7/19/2016,5/5/2025,Permit,10017 SW 16 St
BUL-111201,Residential Re-Roofing,Complete,,1/20/2016,1/11/2016,7/18/2016,5/2/2025,Permit,1200 W FAIRWAY Rd
BUL-111204,Residential Re-Roofing,Complete,,1/20/2016,1/11/2016,7/18/2016,5/1/2025,Permit,1920 NW 107 Ave
BUL-111206,Residential Re-Roofing,Complete,,1/28/2016,1/11/2016,7/26/2016,5/2/2025,Permit,1465 LACOSTA Dr
BUL-111226,Residential Re-Roofing,Complete,,1/20/2016,1/11/2016,7/18/2016,5/1/2025,Permit,11631 SW 9 Ct
BUL-111232,Residential Re-Roofing,Complete,,1/27/2016,1/11/2016,7/25/2016,1/27/2016,Permit,1621 SW 149 ave
BUL-111282,Residential Re-Roofing,Complete,,1/26/2016,1/12/2016,7/24/2016,5/4/2025,Permit,7611 NW 14 St
BUL-111314,Residential Re-Roofing,Complete,,1/20/2016,1/12/2016,7/18/2016,5/3/2025,Permit,6941 SW 5 St
BUL-111320,Residential Re-Roofing,Complete,,1/26/2016,1/12/2016,7/24/2016,5/3/2025,Permit,420 NW 199 Ave
BUL-111326,Residential Re-Roofing,Complete,,1/26/2016,1/12/2016,7/24/2016,5/5/2025,Permit,210 SW 98 Ter
BUL-111345,Residential Re-Roofing,Complete,,2/23/2016,1/12/2016,8/21/2016,5/1/2025,Permit,21831 S HERITAGE Cir
BUL-111363,Residential Re-Roofing,Complete,,1/19/2016,1/12/2016,7/17/2016,1/19/2016,Permit,10901 N LAKEVIEW DRIVE
BUL-111451,Residential Re-Roofing,Complete,,2/4/2016,1/13/2016,8/2/2016,5/5/2025,Permit,1261 W FAIRWAY Rd
BUL-111482,Residential Re-Roofing,Complete,,1/26/2016,1/14/2016,7/24/2016,5/5/2025,Permit,19213 SW 4 St
BUL-111483,Residential Re-Roofing,Complete,,1/26/2016,1/14/2016,7/24/2016,8/9/2022,Permit,810 NW 76 Ave
BUL-11150,Residential Re-Roofing,Complete,,9/1/2010,8/3/2010,2/28/2011,5/1/2025,Permit,6941 SW 14 ST
BUL-11156,Residential Re-Roofing,Complete,,8/10/2010,8/3/2010,2/6/2011,5/5/2025,Permit,18770 SW 4 ST
BUL-111593,Residential Re-Roofing,Complete,,2/1/2016,1/19/2016,7/30/2016,5/4/2025,Permit,1171 NW 89 Ter
BUL-111594,Residential Re-Roofing,Complete,,1/26/2016,1/19/2016,7/24/2016,5/1/2025,Permit,6951 SW 5 St
BUL-111666,Residential Re-Roofing,Complete,,1/27/2016,1/20/2016,7/25/2016,5/4/2025,Permit,8771 NW 13 st
BUL-111670,Residential Re-Roofing,Complete,,1/26/2016,1/20/2016,7/24/2016,5/2/2025,Permit,1461 NW 112 Way
BUL-111671,Residential Re-Roofing,Complete,,3/10/2016,1/20/2016,9/6/2016,5/2/2025,Permit,1501 NW 113 Way
BUL-111673,Residential Re-Roofing,Complete,,3/10/2016,1/20/2016,9/6/2016,5/2/2025,Permit,1503 NW 113 Way
BUL-111675,Residential Re-Roofing,Complete,,3/10/2016,1/20/2016,9/6/2016,5/5/2025,Permit,1505 NW 113 Way
BUL-111677,Residential Re-Roofing,Complete,,3/10/2016,1/20/2016,9/6/2016,5/2/2025,Permit,1509 NW 113 Way
BUL-111680,Residential Re-Roofing,Complete,,4/6/2016,1/20/2016,10/3/2016,5/1/2025,Permit,1511 NW 113 Way
BUL-111683,Residential Re-Roofing,Complete,,3/10/2016,1/20/2016,9/6/2016,5/4/2025,Permit,1507 NW 113 Way
BUL-111723,Residential Re-Roofing,Complete,,2/17/2016,1/20/2016,8/15/2016,5/1/2025,Permit,8651 NW 24 Ct
BUL-111738,Residential Re-Roofing,Complete,,2/3/2016,1/20/2016,8/1/2016,5/1/2025,Permit,7670 TAFT St
BUL-111757,Residential Awning/Canopy/Framed Aluminum Roof,Complete,,,1/21/2016,7/19/2016,5/3/2025,Permit,16492 NW 21 St
BUL-111762,Residential Re-Roofing,Complete,,2/11/2016,1/21/2016,8/9/2016,2/11/2016,Permit,1352 NW 122 Ter
BUL-111774,Residential Re-Roofing,Complete,,1/27/2016,1/21/2016,7/25/2016,5/5/2025,Permit,11581 SW 9 Ct
BUL-111778,Residential Re-Roofing,Complete,,2/18/2016,1/21/2016,8/16/2016,5/1/2025,Permit,1100 NW 81 Ave
BUL-111787,Residential Re-Roofing,Complete,,2/2/2016,1/21/2016,7/31/2016,5/3/2025,Permit,1445 LACOSTA Dr
