ParcelID,WorkType,Contractor,Status,Applied Date
494111010240,FLAT ROOF ONLY/540SF,A ROOFING SPECIALISTS,CANCELLED,12/14/09
494105031110,REROOF SHINGLE ONLY,A ROOFING SPECIALISTS,CLOSED,07/01/10
494104210640,REPL. ROOF MANSARD,ELITE BUILDERS GROUP INC,CLOSED,06/15/10
494112AK0002,RE-ROOF FLAT/SLOPE-SMC,A ROOFING SPECIALISTS,CLOSED,05/03/12
494106021650,REROOF SHINGLES/1585SF,A ROOFING SPECIALISTS,CLOSED,05/30/12
494217041610,REROOF FLAT 225SF,A ROOFING SPECIALISTS,CLOSED,06/04/13
494105170010,MODIDFY/UPGRADE-FACADE,INTERSTRUCT INC,CLOSED,07/30/12
494105170010,MODIDFY/UPGRADE-FACADE,INTERSTRUCT INC,CLOSED,07/30/12
494216090510,REROOF FLAT TO SHINGLE,A ROOFING SPECIALISTS,CLOSED,04/03/14
494104310060,REROOF FLAT ONLY-SMC,A SQUARE ROOFING INC.,CLOSED,02/25/15
494104310060,DUP SEE 15-813,A SQUARE ROOFING INC.,DUPLICATE,05/15/15
494217042100,KRASS/ROOF,A TECH ROOFING,CLOSED,06/20/00
494114100180,HENRY SKRILL,A TECH ROOFING,CLOSED,07/18/00
494103033710,MANSHELD/RE-ROOF,A TECH ROOFING,CLOSED,04/10/02
494103041580,ALEKSICH/RE-ROOF,A TECH ROOFING,CLOSED,04/29/02
494103060260,WALTERS/RE-ROOF,A TECH ROOFING,CLOSED,03/29/04
494113090070,JENULIS/RE-ROOF,A TECH ROOFING,CLOSED,05/18/04
494103060280,MARTINEZ/RE-ROOF,A TECH ROOFING,CLOSED,07/28/04
494110030210,DESOUSA/SHINGLE & FLAT RF,A TECH ROOFING,CLOSED,11/18/04
494217021470,BLARICUM/SHINGLE,A TECH ROOFING,CLOSED,03/07/07
494103080060,DEWHURST,A TECH ROOFING,CLOSED,05/12/98
494108051810,SAL CANGELOSI,A TECH ROOFING,CLOSED,06/08/98
494103182430,,A TECH ROOFING,CLOSED,07/23/99
494106020300,,A TECH ROOFING,CLOSED,10/28/99
494103060900,RUTIGLIANO,A TECH ROOFING,CLOSED,11/30/99
494113071460,REROOF SHINGLES AND FLAT,A TECH ROOFING,CLOSED BY REPORT,10/27/09
494106020300,RE-ROOF FLAT,A TECH ROOFING,CLOSED BY REPORT,03/09/10
494114080360,REROOF FLAT DECK/2400SF,A TECH ROOFING,CLOSED,03/04/15
494110021680,REROOF SHINGLES AND FLAT,A TECH ROOFING,CLOSED,04/14/15
494106011740,REROOF SHINGLES,A TECH ROOFING,CLOSED,12/02/16
494113023640,RE-ROOF FLAT/SHINGLE,"A TO Z ROOFING, INC.",CLOSED,12/10/09
494110020180,REROOF SHINGLE/FLAT/2464S,A 1 JOSE JOSE ROOFING CORP,CLOSED,01/09/08
494216110150,REROOF FLAT,A 1 MODIFIED ROOFING INC,CLOSED,02/02/23
494110022760,RE-ROOF SHINGLE & FLAT,A 1 MODIFIED ROOFING INC,CLOSED,05/12/23
494113100800,SEE 19-3634,A 1 MODIFIED ROOFING INC,DUPLICATE,07/12/23
494105090690,PHOTOVOLTAIC W/ EL,A.G.U. ROOFING & SOLAR LLC EC,APPROVED,05/28/25
494104290210,REROOF METAL SHINGLE ONLY,A.I.B. ROOFING & CONSTRUCTION,CLOSED,12/27/23
494110042700,RE-ROOF SHINGLES,"A.S PERMAUL ROOFING, INC.",CLOSED,06/26/12
494103052420,RE-ROOF SHINGLE & FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,02/25/19
494103182330,RE-ROOF SHINGLES,"A.S. PERMAUL ROOFING, INC.",CLOSED,03/15/19
494103210480,RE-ROOF FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,04/08/19
494110022190,REROOF SHINGLE ONLY,"A.S. PERMAUL ROOFING, INC.",CLOSED,04/11/19
494114100370,REROOF SHINGLE AND FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,07/16/19
494216091110,REROOF SHINGLE ONLY,"A.S. PERMAUL ROOFING, INC.",CLOSED,02/10/20
494217041750,REROOF SINGLE AND FLAT,"A.S. PERMAUL ROOFING, INC.",CLOSED,05/26/20
494110040170,,"A.S. PERMAUL ROOFING, INC.",IN PLAN CHECK,07/07/20
494113112020,RE-ROOFING SHINGLES & FLA,"A.S. PERMAUL ROOFING, INC.",CLOSED,08/11/20
